PBO Network Velocity Field
Station,Ref_Epoch,Ref_JDay,Latitude (deg N),Longitude (deg E),Elevation (m),North Velocity (mm/yr),East Velocity (mm/yr),Vertical Velocity (mm/yr),North Std. Deviation (mm/yr),East Std. Deviation (mm/yr),Vertical Std. Deviation (mm/yr),North/East Correlation,North/Vertical Correlation,East/Vertical Correlation,First_Epoch,Last_Epoch,
AC64,20091016120000,55120.5000,62.714017,215.696012,774.4973,29.0,-16.9,13.2,1.1,0.5,0.8,-0.003,-0.011,0.025,20040715000000,20091030000000
AC64,20091016120000,55120.5000,62.714017,215.696012,774.5019,29.0,-16.9,13.2,1.1,0.5,0.8,-0.003,-0.011,0.025,20060919000000,20090913000000
AC65,20091016120000,55120.5000,62.831511,216.295782,735.8495,23.2,-11.9,13.3,0.5,0.4,0.9,-0.005,0.005,0.045,20040716000000,20090901000000
AC66,20091016120000,55120.5000,51.378129,179.301326,106.7942,-5.7,-14.4,8.0,2.0,1.5,2.4,0.000,0.006,0.017,20071220000000,20090415000000
AC66,20091016120000,55120.5000,51.378129,179.301326,106.8026,-5.7,-14.4,8.0,2.0,1.5,2.4,0.000,0.006,0.017,20050922000000,20071220000000
AC67,20091016120000,55120.5000,57.790718,207.574567,347.2330,13.4,-9.3,8.1,0.5,0.7,1.0,0.001,0.014,0.019,20060625000000,20091101000000
AC69,20091016120000,55120.5000,63.112614,217.973465,644.5827,-1.9,6.5,-5.0,2.3,2.8,3.4,-0.001,0.011,0.002,20070625000000,20080510000000
AC70,20091016120000,55120.5000,63.304712,211.811680,810.8382,0.0,-11.0,3.4,0.5,0.9,1.5,0.001,0.011,0.009,20070629000000,20091101000000
AC71,20091016120000,55120.5000,64.049306,214.286377,363.9699,-4.3,3.1,2.4,0.5,0.6,1.6,-0.002,0.014,0.014,20070614000000,20090617000000
AC72,20091016120000,55120.5000,63.695059,214.112304,558.7996,-4.4,5.2,5.1,0.6,0.6,1.9,-0.013,-0.008,0.026,20070616000000,20090416000000
AC74,20091016120000,55120.5000,63.464357,211.192741,668.5714,-0.3,-5.9,2.1,0.5,0.6,1.3,0.002,0.006,0.014,20070620000000,20090617000000
AC75,20091016120000,55120.5000,62.999305,210.391180,608.6025,-1.5,-8.0,2.6,0.6,0.8,1.4,-0.000,0.012,0.014,20070620000000,20090616000000
AC76,20091016120000,55120.5000,63.039999,216.741185,1585.2460,6.8,7.7,5.0,0.8,1.7,2.2,-0.003,0.016,0.004,20080613000000,20091101000000
AC76,20091016120000,55120.5000,63.039999,216.741185,1585.2516,6.8,7.7,5.0,0.8,1.7,2.2,-0.003,0.016,0.004,20080911000000,20090913000000
AC77,20091016120000,55120.5000,62.688033,214.573743,746.8259,12.8,-16.8,7.3,0.5,0.8,1.5,0.000,0.003,0.010,20070618000000,20091101000000
ACSO,20091016120000,55120.5000,40.232361,277.018469,248.1794,-0.4,-0.6,-4.0,0.4,0.4,1.2,-0.000,0.003,-0.010,20060819000000,20091101000000
AGMT,20091016120000,55120.5000,34.594282,243.570621,1337.8375,7.1,-8.0,-1.3,0.1,0.1,0.5,-0.016,0.059,0.038,20040101000000,20091101000000
AHID,20091016120000,55120.5000,42.773119,248.936260,1975.5409,-0.7,-1.4,-0.6,0.2,0.1,1.0,-0.005,0.001,0.005,20040427000000,20091101000000
AIS1,20091016120000,55120.5000,55.069072,228.400464,32.2775,3.3,0.9,1.6,0.4,0.6,1.2,0.001,-0.003,0.011,20080202000000,20080211000000
AIS1,20091016120000,55120.5000,55.069072,228.400465,32.2866,3.3,0.9,1.6,0.4,0.6,1.2,0.001,-0.003,0.011,20040101000000,20080203000000
ALBH,20091016120000,55120.5000,48.389781,236.512530,31.7478,4.2,5.0,0.3,0.2,0.2,0.6,-0.004,0.008,0.015,20040101000000,20090913000000
ALGO,20091016120000,55120.5000,45.955800,281.928632,200.9264,-1.3,0.5,3.6,0.2,0.1,0.8,0.007,-0.012,0.010,20040101000000,20090913000000
ALRT,20091016120000,55120.5000,82.494294,297.659536,78.1310,-2.1,-1.6,2.9,0.3,0.5,1.2,0.001,-0.019,-0.018,20040101000000,20091101000000
ANA1,20091016120000,55120.5000,34.015006,240.636530,22.4595,33.8,-31.2,1.7,0.4,0.3,0.9,-0.003,0.013,0.015,20040101000000,20091101000000
ATW2,20091016120000,55120.5000,61.597755,210.867708,97.0594,9.5,-11.7,1.6,0.3,0.4,1.1,0.000,0.020,0.027,20040101000000,20091101000000
