,,,,,,,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,Population,Housing units,Area in square miles,Area in square miles,Area in square miles,Density per square mile of land area,Density per square mile of land area
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,,Total area,Water area,Land area,Population,Housing units
0400000US06,06,California,8710000US0690077,0690077,"California - ZCTA5 90077, California","ZCTA5 90077, California",9377,3888,7.47,0.14,7.33,1279.2,530.4
0400000US06,06,California,8710000US0690079,0690079,"California - ZCTA5 90079, California","ZCTA5 90079, California",0,0,0.01,0.00,0.01,0.0,0.0
0400000US06,06,California,8710000US0690089,0690089,"California - ZCTA5 90089, California","ZCTA5 90089, California",3217,31,0.29,0.00,0.29,11217.6,108.1
0400000US06,06,California,8710000US0690090,0690090,"California - ZCTA5 90090, California","ZCTA5 90090, California",0,0,0.23,0.00,0.23,0.0,0.0
0400000US06,06,California,8710000US0690094,0690094,"California - ZCTA5 90094, California","ZCTA5 90094, California",5464,3168,0.61,0.00,0.61,8942.0,5184.5
0400000US06,06,California,8710000US0690095,0690095,"California - ZCTA5 90095, California","ZCTA5 90095, California",3,2,0.40,0.00,0.40,7.6,5.1
0400000US06,06,California,8710000US0690201,0690201,"California - ZCTA5 90201, California","ZCTA5 90201, California",101279,24940,6.05,0.11,5.94,17060.4,4201.1
0400000US06,06,California,8710000US0690210,0690210,"California - ZCTA5 90210, California","ZCTA5 90210, California",21741,9563,10.19,0.06,10.13,2147.0,944.4
0400000US06,06,California,8710000US0690211,0690211,"California - ZCTA5 90211, California","ZCTA5 90211, California",8434,4052,0.70,0.00,0.70,12042.0,5785.4
0400000US06,06,California,8710000US0690212,0690212,"California - ZCTA5 90212, California","ZCTA5 90212, California",11555,6170,0.96,0.00,0.96,12095.9,6458.8
0400000US06,06,California,8710000US0690220,0690220,"California - ZCTA5 90220, California","ZCTA5 90220, California",49328,13498,6.95,0.04,6.91,7138.2,1953.3
0400000US06,06,California,8710000US0690221,0690221,"California - ZCTA5 90221, California","ZCTA5 90221, California",53704,12368,5.43,0.10,5.33,10072.2,2319.6
0400000US06,06,California,8710000US0690222,0690222,"California - ZCTA5 90222, California","ZCTA5 90222, California",31869,8026,2.58,0.03,2.56,12464.8,3139.2
0400000US06,06,California,8710000US0690230,0690230,"California - ZCTA5 90230, California","ZCTA5 90230, California",31766,13344,4.55,0.04,4.51,7048.4,2960.8
0400000US06,06,California,8710000US0690232,0690232,"California - ZCTA5 90232, California","ZCTA5 90232, California",15149,6944,2.12,0.01,2.11,7192.8,3297.1
0400000US06,06,California,8710000US0690240,0690240,"California - ZCTA5 90240, California","ZCTA5 90240, California",25876,7991,3.01,0.07,2.94,8789.5,2714.4
0400000US06,06,California,8710000US0690241,0690241,"California - ZCTA5 90241, California","ZCTA5 90241, California",42399,14316,4.99,0.07,4.93,8607.3,2906.2
